
================================================================================
FAST MODBUS RTU SCAN
================================================================================

FUNCTION CODE 3

FC=3  REG=14864 RAW=1      BIN=0000000000000001
FC=3  REG=14865 RAW=1      BIN=0000000000000001
FC=3  REG=14866 RAW=1      BIN=0000000000000001
FC=3  REG=14867 RAW=1      BIN=0000000000000001
FC=3  REG=14868 RAW=1      BIN=0000000000000001
FC=3  REG=14869 RAW=1      BIN=0000000000000001
FC=3  REG=14870 RAW=1      BIN=0000000000000001
FC=3  REG=14871 RAW=1      BIN=0000000000000001
FC=3  REG=14872 RAW=1      BIN=0000000000000001
FC=3  REG=14873 RAW=1      BIN=0000000000000001
FC=3  REG=14874 RAW=1      BIN=0000000000000001
FC=3  REG=14875 RAW=1      BIN=0000000000000001
FC=3  REG=14876 RAW=1      BIN=0000000000000001
FC=3  REG=14877 RAW=1      BIN=0000000000000001
FC=3  REG=14878 RAW=1      BIN=0000000000000001
FC=3  REG=14879 RAW=1      BIN=0000000000000001
FC=3  REG=14880 RAW=1      BIN=0000000000000001
FC=3  REG=14881 RAW=1      BIN=0000000000000001
FC=3  REG=14882 RAW=1      BIN=0000000000000001
FC=3  REG=14883 RAW=1      BIN=0000000000000001
FC=3  REG=14884 RAW=1      BIN=0000000000000001
FC=3  REG=14885 RAW=1      BIN=0000000000000001
FC=3  REG=14886 RAW=1      BIN=0000000000000001
FC=3  REG=14887 RAW=1      BIN=0000000000000001
FC=3  REG=14888 RAW=1      BIN=0000000000000001
FC=3  REG=14889 RAW=1      BIN=0000000000000001
FC=3  REG=14890 RAW=1      BIN=0000000000000001
FC=3  REG=14891 RAW=1      BIN=0000000000000001
FC=3  REG=14892 RAW=1      BIN=0000000000000001
FC=3  REG=14893 RAW=1      BIN=0000000000000001
FC=3  REG=14894 RAW=1      BIN=0000000000000001
FC=3  REG=14895 RAW=1      BIN=0000000000000001
FC=3  REG=14896 RAW=1      BIN=0000000000000001
FC=3  REG=14897 RAW=1      BIN=0000000000000001
FC=3  REG=14898 RAW=1      BIN=0000000000000001
FC=3  REG=14899 RAW=1      BIN=0000000000000001
FC=3  REG=14900 RAW=1      BIN=0000000000000001
FC=3  REG=14901 RAW=1      BIN=0000000000000001
FC=3  REG=14902 RAW=1      BIN=0000000000000001
FC=3  REG=14903 RAW=1      BIN=0000000000000001
FC=3  REG=14904 RAW=1      BIN=0000000000000001
FC=3  REG=14905 RAW=1      BIN=0000000000000001
FC=3  REG=14906 RAW=1      BIN=0000000000000001
FC=3  REG=14907 RAW=1      BIN=0000000000000001
FC=3  REG=14908 RAW=1      BIN=0000000000000001
FC=3  REG=14909 RAW=1      BIN=0000000000000001
FC=3  REG=14910 RAW=1      BIN=0000000000000001
FC=3  REG=14911 RAW=1      BIN=0000000000000001
FC=3  REG=14912 RAW=1      BIN=0000000000000001
FC=3  REG=14913 RAW=1      BIN=0000000000000001
FC=3  REG=14914 RAW=1      BIN=0000000000000001
FC=3  REG=14915 RAW=1      BIN=0000000000000001
FC=3  REG=14916 RAW=1      BIN=0000000000000001
FC=3  REG=14917 RAW=1      BIN=0000000000000001
FC=3  REG=14918 RAW=1      BIN=0000000000000001
FC=3  REG=14919 RAW=1      BIN=0000000000000001
FC=3  REG=14920 RAW=1      BIN=0000000000000001
FC=3  REG=14921 RAW=1      BIN=0000000000000001
FC=3  REG=14922 RAW=1      BIN=0000000000000001
FC=3  REG=14923 RAW=1      BIN=0000000000000001
FC=3  REG=14924 RAW=1      BIN=0000000000000001
FC=3  REG=14925 RAW=1      BIN=0000000000000001
FC=3  REG=14926 RAW=1      BIN=0000000000000001
FC=3  REG=14927 RAW=1      BIN=0000000000000001
FC=3  REG=14928 RAW=1      BIN=0000000000000001
FC=3  REG=14929 RAW=1      BIN=0000000000000001
FC=3  REG=14930 RAW=1      BIN=0000000000000001
FC=3  REG=14931 RAW=1      BIN=0000000000000001
FC=3  REG=14932 RAW=1      BIN=0000000000000001
FC=3  REG=14933 RAW=1      BIN=0000000000000001
FC=3  REG=14934 RAW=1      BIN=0000000000000001
FC=3  REG=14935 RAW=1      BIN=0000000000000001
FC=3  REG=14936 RAW=1      BIN=0000000000000001
FC=3  REG=14937 RAW=1      BIN=0000000000000001
FC=3  REG=14938 RAW=1      BIN=0000000000000001
FC=3  REG=14939 RAW=1      BIN=0000000000000001
FC=3  REG=14940 RAW=1      BIN=0000000000000001
FC=3  REG=14941 RAW=1      BIN=0000000000000001
FC=3  REG=14942 RAW=1      BIN=0000000000000001
FC=3  REG=14943 RAW=1      BIN=0000000000000001
FC=3  REG=14944 RAW=1      BIN=0000000000000001
FC=3  REG=14945 RAW=1      BIN=0000000000000001
FC=3  REG=14946 RAW=1      BIN=0000000000000001
FC=3  REG=14947 RAW=1      BIN=0000000000000001
FC=3  REG=14948 RAW=1      BIN=0000000000000001
FC=3  REG=14949 RAW=1      BIN=0000000000000001
FC=3  REG=14950 RAW=1      BIN=0000000000000001
FC=3  REG=14951 RAW=1      BIN=0000000000000001
FC=3  REG=14952 RAW=1      BIN=0000000000000001
FC=3  REG=14953 RAW=1      BIN=0000000000000001
FC=3  REG=14954 RAW=1      BIN=0000000000000001
FC=3  REG=14955 RAW=1      BIN=0000000000000001
FC=3  REG=14956 RAW=1      BIN=0000000000000001
FC=3  REG=14957 RAW=1      BIN=0000000000000001
FC=3  REG=14958 RAW=1      BIN=0000000000000001
FC=3  REG=14959 RAW=1      BIN=0000000000000001
FC=3  REG=14960 RAW=1      BIN=0000000000000001
FC=3  REG=14961 RAW=1      BIN=0000000000000001
FC=3  REG=14962 RAW=1      BIN=0000000000000001
FC=3  REG=14963 RAW=1      BIN=0000000000000001
FC=3  REG=14964 RAW=1      BIN=0000000000000001
FC=3  REG=14965 RAW=1      BIN=0000000000000001
FC=3  REG=14966 RAW=1      BIN=0000000000000001
FC=3  REG=14967 RAW=1      BIN=0000000000000001
FC=3  REG=14968 RAW=1      BIN=0000000000000001
FC=3  REG=14969 RAW=1      BIN=0000000000000001
